Category,City,Country,Customer Name,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales,Sales Forecast,Sales per Customer
Office Supplies,Houston,United States,Darren Powers,4/1/2011,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,8/1/2011,Standard Class,Texas,Paper,4,6,0.2,1,6,0.338,2,16,22,16.45
Office Supplies,Naperville,United States,Phillina Ober,5/1/2011,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,9/1/2011,Standard Class,Illinois,Binders,4,6,0.8,1,-5,-1.55,2,4,5,3.54
Office Supplies,Naperville,United States,Phillina Ober,5/1/2011,CA-2011-112326,60540,Avery 508,Central,Home Office,9/1/2011,Standard Class,Illinois,Labels,4,6,0.2,1,4,0.363,3,12,15,11.78
Office Supplies,Naperville,United States,Phillina Ober,5/1/2011,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,9/1/2011,Standard Class,Illinois,Storage,4,6,0.2,1,-65,-0.238,3,273,357,272.74
Office Supplies,Philadelphia,United States,Mick Brown,6/1/2011,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,13/1/2011,Standard Class,Pennsylvania,Art,7,6,0.2,1,5,0.25,3,20,26,19.54
Office Supplies,Athens,United States,Jack O'Briant,7/1/2011,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,8/1/2011,First Class,Georgia,Art,1,1,0,1,5,0.41,3,13,17,12.78
Office Supplies,Los Angeles,United States,Lycoris Saunders,7/1/2011,CA-2011-130813,90049,Xerox 225,West,Consumer,9/1/2011,Second Class,California,Paper,2,3,0,1,9,0.48,3,19,25,19.44
Furniture,Henderson,United States,Maria Etezadi,7/1/2011,CA-2011-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,11/1/2011,Standard Class,Kentucky,Chairs,4,6,0,1,746,0.29,9,2574,3373,2573.82
Office Supplies,Henderson,United States,Maria Etezadi,7/1/2011,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,11/1/2011,Standard Class,Kentucky,Art,4,6,0,1,1,0.27,2,5,7,5.48
Office Supplies,Henderson,United States,Maria Etezadi,7/1/2011,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,11/1/2011,Standard Class,Kentucky,Binders,4,6,0,1,274,0.45,2,610,799,609.98
